mal_id,title,title_english,title_japanese,score,scored_by,rank,popularity,members,favorites,episodes,duration,year,season,type,status,rating,source,genres,themes,demographics,studios,producers,licensors,synopsis,background
572,Kaze no Tani no Nausicaä,Nausicaä of the Valley of the Wind,風の谷のナウシカ,8.35,251798.0,249.0,644,403417,5836,1.0,1 hr 57 min,,,Movie,Finished Airing,PG-13 - Teens 13 or older,Manga,"Adventure, Award Winning, Drama, Fantasy",,,Topcraft,Omnibus Promotion,"Disney Platform Distribution, GKIDS","A millennium has passed since the catastrophic nuclear war named the ""Seven Days of Fire,"" which destroyed nearly all life on Earth. Humanity now lives in a constant struggle against the treacherous jungle that has evolved in response to the destruction caused by mankind. Filled with poisonous spores and enormous insects, the jungle spreads rapidly across the Earth and threatens to swallow the remnants of the human race.

Away from the jungle exists a peaceful farming kingdom known as the ""Valle","Though it was made before Studio Ghibli was founded, it is often considered a Ghibli work, and is usually released as part of DVD and Blu-ray collections of Ghibli work. In 1984, the film was awarded "
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,My Teen Romantic Comedy SNAFU Climax!,やはり俺の青春ラブコメはまちがっている。完,8.35,440189.0,258.0,271,793890,14729,12.0,24 min per ep,2020.0,summer,TV,Finished Airing,PG-13 - Teens 13 or older,Light novel,"Comedy, Romance","Love Polygon, School",,feel.,"Marvelous Entertainment, TBS, Movic, Delfi Sound, NBCUniversal Entertainment Japan",Sentai Filmworks,"Resolved to become a more independent person, Yukino Yukinoshita decides to smoothen things out with her parents, and the first step toward achieving that goal is to prove herself.

As graduation draws closer for the third-year students, Iroha Isshiki—the president of the student council—requests a graduation prom in collaboration with the Volunteer Service Club. Yukino accepts this request of her own volition, hoping to use it as a chance to demonstrate her self-reliance, but what lies ahead of",Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan adapts volumes 12 to 14 of Wataru Watari's light novel series of the same title.
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou","Violet Evergarden: The Day You Understand ""I Love You"" Will Surely Come","ヴァイオレット・エヴァーガーデンきっと""愛""を知る日が来るのだろう",8.35,215350.0,257.0,732,359910,962,1.0,34 min,,,Special,Finished Airing,PG-13 - Teens 13 or older,Light novel,Drama,,,Kyoto Animation,"Lantis, Pony Canyon, Rakuonsha, ABC Animation",,"The CH Postal Company has just received a request to transcribe a love letter from Irma Felice, a famous opera singer. Accepting the task, Violet Evergarden visits Irma to write her letter. However, not only does Irma provide little information, she asks Violet to write based on her own feelings. Despite Violet's numerous attempts, Irma finds every version of the letter inadequate.

Violet consults her colleagues, and they help her out by writing love letters of their own. Yet even those are rej",
49458,Kono Subarashii Sekai ni Shukufuku wo! 3,KonoSuba: God's Blessing on This Wonderful World! 3,この素晴らしい世界に祝福を！3,8.35,212871.0,250.0,484,511194,5483,11.0,23 min per ep,2024.0,spring,TV,Finished Airing,PG-13 - Teens 13 or older,Light novel,"Adventure, Comedy, Fantasy","Isekai, Parody",,Drive,"Half H.P Studio, Nippon Columbia, 81 Produce, Sammy, Kadokawa",,"Kazuma Satou, former NEET and current reincarnated adventurer, finally returns home after the incident at the Crimson Demon village. He is joined by his ever-reliable companions: self-absorbed goddess Aqua, one-trick pony arch-wizard Megumin, and masochistic crusader Lalatina Ford ""Darkness"" Dustiness. Following their recent exploits, the party is one step closer to vanquishing the Demon King and his armies—a terrifying task that Kazuma is eager to ignore for as long as possible. Things, however","Kono Subarashii Sekai ni Shukufuku wo! 3 was released on Blu-ray and DVD in four volumes from July 24, 2024, to October 25, 2024."
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,8.35,926200.0,252.0,92,1499872,38035,11.0,23 min per ep,2021.0,winter,TV,Finished Airing,R - 17+ (violence & profanity),Light novel,"Adventure, Drama, Fantasy, Ecchi","Isekai, Reincarnation",,Studio Bind,"Frontier Works, TOHO, Magic Capsule, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE, Toho Music",Funimation,"Despite being bullied, scorned, and oppressed all of his life, a 34-year-old shut-in still found the resolve to attempt something heroic—only for it to end in a tragic accident. But in a twist of fate, he awakens in another world as Rudeus Greyrat, starting life again as a baby born to two loving parents.

Preserving his memories and knowledge from his previous life, Rudeus quickly adapts to his new environment. With the mind of a grown adult, he starts to display magical talent that exceeds all",Mushoku Tensei: Isekai Ittara Honki Dasu adapts chapters 1-26 of Yuka Fujikawa's manga series and volumes 1-3 of Rifujin na Magonote's light novel series of the same title.
338,Versailles no Bara,The Rose of Versailles,ベルサイユのばら,8.35,33026.0,256.0,2160,110188,3318,40.0,24 min per ep,1979.0,fall,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,"Drama, Romance","Crossdressing, Historical, Military",Shoujo,Tokyo Movie Shinsha,Nippon Television Network,"Nozomi Entertainment, Discotek Media","In a time of class stratification and rising tensions amongst the impoverished population, the Austrian Empire sends Princess Marie Antoinette to France to be wed to Crown Prince Louis XVI. The political marriage is arranged to strengthen the alliance between both countries, but the future queen is deeply unsatisfied with her fate being decided for her. Upon arrival in the country, Marie Antoinette is acquainted with Oscar Fançois de Jarjayes—Commander of the Royal Guard.

Due to her father's de",
37822,Douluo Dalu 2nd Season,Soul Land,斗罗大陆,8.35,10161.0,247.0,4985,23250,490,237.0,20 min per ep,,,ONA,Finished Airing,PG-13 - Teens 13 or older,Novel,"Action, Adventure, Fantasy, Supernatural","Historical, Martial Arts",,Sparkly Key Animation Studio,"Tencent Video, Xuanshi Tangmen",,Second season of Douluo Dalu.,
53540,Meitantei Conan Movie 26: Kurogane no Submarine,Detective Conan Movie 26: Black Iron Submarine,名探偵コナン 黒鉄の魚影 (サブマリン),8.35,8534.0,251.0,5590,17378,117,1.0,1 hr 49 min,,,Movie,Finished Airing,PG-13 - Teens 13 or older,Manga,"Action, Mystery",Detective,Shounen,TMS Entertainment,"Shogakukan-Shueisha Productions, Yomiuri Telecasting, TOHO, Nippon Television Network, Shogakukan",,"This time's location is set in the sea near the Hachijo-jima island, Tokyo. Engineers from around the world have gathered for the full-scale operation of ""Pacific Buoy,"" an offshore facility to connect security cameras owned by the worldwide police forces. A test of a certain ""new technology"" based on a face recognition system is underway there.

Meanwhile, Conan and the Detective Boys visit Hachijo-jima at Sonoko's invitation and receive a phone call from Subaru Okiya informing them that a Euro",
39808,Non Non Biyori Nonstop,Non Non Biyori Nonstop,のんのんびより のんすとっぷ,8.35,52213.0,254.0,1853,135535,976,12.0,24 min per ep,2021.0,winter,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,Slice of Life,"CGDCT, Iyashikei",Seinen,SILVER LINK.,"TV Tokyo, Lantis, AT-X, Kadokawa, Bandai Namco Arts, Bit grooove promotion, Sony Music Solutions",Sentai Filmworks,"The carefree journeys of the four girls continue! As their fleeting yet eventful summer becomes a distant memory, the arrival of fall signals a new school year with limitless opportunities. Even as the four girls return to their peaceful routine, the appearance of new faces enlivens the anything but exciting rural life of Asahigaoka.

Non Non Biyori Nonstop leisurely walks back into the lives of Hotaru Ichijou, Komari Koshigaya, Natsumi Koshigaya, and Renge Miyauchi as they fully embrace their r",
2251,Baccano!,Baccano!,バッカーノ！,8.35,394066.0,246.0,201,944033,23640,13.0,24 min per ep,2007.0,summer,TV,Finished Airing,R - 17+ (violence & profanity),Light novel,"Action, Mystery, Supernatural","Adult Cast, Historical, Organized Crime",,Brain's Base,"Aniplex, Movic","Funimation, Aniplex of America","During the early 1930s in Chicago, the transcontinental train, Flying Pussyfoot, is starting its legendary journey that will leave a trail of blood all over the country. At the same time in New York, the ambitious scientist Szilard and his unwilling aide Ennis are looking for missing bottles of the immortality elixir. In addition, a war between the mafia groups is getting worse. On board the Advena Avis, in 1711, alchemists are about to learn the price of immortality.

Based on the award-winning","Baccano! is based on Ryohgo Narita's award-winning light novels of the same title and mainly adapts the first 4 novels. While more faithful to the first 3 novels, the 4th novel (1932) is followed more"
49926,Kimetsu no Yaiba: Mugen Ressha-hen,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,鬼滅の刃 無限列車編,8.35,548486.0,249.0,215,908285,4586,7.0,24 min per ep,2021.0,fall,TV,Finished Airing,R - 17+ (violence & profanity),Manga,"Action, Supernatural",Historical,Shounen,ufotable,"Aniplex, Shueisha",,"A mysterious string of disappearances on a certain train has caught the attention of the Demon Slayer Corps, and they have sent one of their best to exterminate what can only be a demon responsible. However, the plan to board the Mugen Train is delayed by a lesser demon who is terrorizing the mechanics and targeting a kind, elderly woman and her granddaughter. Kyoujurou Rengoku, the Flame Hashira, must eliminate the threat before boarding the train.

Sent to assist the Hashira, Tanjirou Kamado, ",Mugen Ressha-hen adapts chapters 54 to 66 of the manga. The first episode is original to the anime.
53065,Sono Bisque Doll wa Koi wo Suru Season 2,My Dress-Up Darling Season 2,その着せ替え人形は恋をする Season 2,8.35,39947.0,254.0,795,335460,3101,12.0,23 min per ep,2025.0,summer,TV,Currently Airing,PG-13 - Teens 13 or older,Manga,Romance,"Otaku Culture, School",Seinen,CloverWorks,"Aniplex, Square Enix, Movic, Studio Mausu, Tokyo MX, BS11",,"After Marin Kitagawa introduced Wakana Gojou to the world of cosplay, he has been creating her outfits with ease. Even so, he still has a lot to learn, and every new lesson seems to strengthen his love for sewing and for the hina dolls his grandfather taught him to make.

Meanwhile, Kitagawa finds it harder and harder to hide her feelings for Gojou. Friends and strangers alike constantly mistake them for a couple, much to Gojou's embarrassment. After all, in his eyes, their worlds are far too di",
39551,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,転生したらスライムだった件,8.35,619710.0,255.0,161,1068280,10934,12.0,23 min per ep,2021.0,winter,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,"Action, Comedy, Fantasy","Isekai, Reincarnation",Shounen,8bit,Kodansha,Funimation,"Taking a break from his time as a teacher, the powerful slime Rimuru Tempest returns to his kingdom, eponymously named Tempest, just in time to begin negotiations with a nearby nation—the Kingdom of Eurazania. While the negotiations are anything but peaceful, they do end successfully, allowing Rimuru to return and finish teaching. When trying to again return to Tempest, this time permanently, Rimuru is stopped by a mysterious figure who is somehow able to constrain the many magical abilities he ",
46654,IDOLiSH7 Third Beat! Part 2,IDOLiSH7 Third BEAT! Part 2,アイドリッシュセブン,8.34,5755.0,263.0,5598,17312,273,17.0,24 min per ep,2022.0,fall,TV,Finished Airing,PG-13 - Teens 13 or older,Game,Drama,"Idols (Male), Music",,TROYCA,,,"IDOLiSH7 is more successful than ever, but no one is smiling because a new threat has taken the stage: the debuting idol group ŹOOĻ. Managed by the nefarious entertainment executive Ryou Tsukumo, they will stop at nothing to get their way, resorting to all kinds of underhanded tactics to bring down their rivals. TRIGGER's image has already been ruined by scandal, and IDOLiSH7 and Re:vale are headed for the same fate—or worse.

Meanwhile, Zero, the legendary idol who disappeared 15 years ago, con",
2402,Ashita no Joe,Tomorrow's Joe,あしたのジョー,8.34,27616.0,259.0,2217,105883,2308,79.0,25 min per ep,1970.0,spring,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,"Drama, Sports",Combat Sports,Shounen,Mushi Production,Fuji TV,,"Joe Yabuki is a troubled youth, whose only solution to problems is throwing punches at them. What he lacks in manners and discipline, he makes up for with his self-taught fighting skills.

One day, while wandering the slums of Doya, Joe gets into a fight with the local gang. Although greatly outnumbered, he effortlessly defeats them, drawing the attention of Danpei Tange—a former boxing coach turned alcoholic. Seeing his potential, he offers to train Joe into Japan's greatest boxer. At first, Jo",
41025,Fumetsu no Anata e,To Your Eternity,不滅のあなたへ,8.34,404017.0,260.0,198,952782,15642,20.0,25 min per ep,2021.0,spring,TV,Finished Airing,R - 17+ (violence & profanity),Manga,"Adventure, Drama, Supernatural",,Shounen,Brain's Base,"NHK, Kodansha, NHK Enterprises",VIZ Media,"An Orb, known only as It, is cast to Earth to be observed from afar. Capable of changing forms from beings whose reflections It captures, It first becomes a rock and then, due to the rising temperature, moss.

It does not move until one snowy day, a wolf at death's door barely crosses by. When It takes the animal's form, It attains awareness of its consciousness and starts to wander with an unclear destination in mind. Soon, It comes across the wolf's master—a young boy waiting for his tribe to ",
31988,Hibike! Euphonium 2,Sound! Euphonium 2,響け！ユーフォニアム2,8.34,132487.0,262.0,1069,250630,3798,13.0,23 min per ep,2016.0,fall,TV,Finished Airing,PG-13 - Teens 13 or older,Novel,Drama,"Music, Performing Arts, School",,Kyoto Animation,"Lantis, Pony Canyon, Rakuonsha",Ponycan USA,"Following their success in the qualifying round for the Kansai regional competition, the members of the Kitauji High School concert band set their sights on the next upcoming performance. Utilizing their summer break to the utmost, the band participates in a camp where they are instructed by their band advisor Noboru Taki and his friends who make their living as professional musicians.

Kumiko Oumae and her friends remain determined to attain gold at the Kansai competition, but trouble arises wh",
